result_id,retailer,retailer_type,attribute,rule_type,deviation_percent,page_type,verdict,verdict_reason,created_at,Verifier,status,Ticket No
98336473-f64d-4ed0-b414-4679130a1ea5,Williams-Sanoma-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:23.817Z,,Not Feasible,
059320e4-7ccf-4698-aa92-d3f2c8b3e01b,Babies-R-Us-CA,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:25.881Z,,Not Feasible,
bbd241e1-2dcd-4a0b-a30f-7a37b9aa2e3a,TheRange-UK,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:29.967Z,,Not Feasible,
ee5a7797-b429-43bf-86b4-03f8d69ffea1,Cobasi-BR,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:34.489Z,,Not Feasible,
7b79903e-9244-4024-80c1-b4f4fb3e13b4,Tiendanimal-ES,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:34.593Z,,Not Feasible,
3eca8d35-8e35-4df1-951b-11189ccc7de1,Tokopedia-ID,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:35.985Z,,Not Feasible,
e83ca381-1ed6-44ee-aaba-d37c36c7a291,VetZoo-SE,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:36.993Z,,Not Feasible,
0f2b4d62-e94e-4b99-826a-f53d29b0d18a,Zooplus-PL,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:37.803Z,,Not Feasible,
1478164d-0764-4252-acd7-78a0f719e96e,Zooplus-BE,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:38.002Z,,Not Feasible,
d7019e95-af98-4676-b13f-46ccdabdf80c,Zooplus,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:38.055Z,,Not Feasible,
378237f3-82e8-456a-b6f0-c58578d5c1e5,Zooplus-IT,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:38.258Z,,Not Feasible,
e742dc1f-9c49-42da-9fe8-5fc384153332,Zooplus-DE,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:39.447Z,,Not Feasible,
20e721e2-15c9-4de7-bbae-ff87cb7140c2,Zooplus-FR,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:39.892Z,,Not Feasible,
315843ba-59b3-4d18-b019-0898fc32c235,Club-De-Perrosy-Gatos-CL,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:40.106Z,,Not Feasible,
428b9896-c96c-4749-9157-2031d5ba5959,Sayurbox-APP-ID,app,extract.productNo,condition,20.6,search,anomaly,Standard,2024-04-24T04:30:40.167Z,,,
5e74e2b8-03ec-4d27-9931-65adda9aa0f9,Wayfair-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:40.979Z,,Not Feasible,
251e48ff-791a-475c-9d82-f99d81324a5a,Dicks-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:41.958Z,,Not Feasible,
46467b95-b62a-43ef-970c-651117d7b61f,Apple-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:41.915Z,,Not Feasible,
dd3e7905-c84b-4f53-ac8a-88d5ace8f056,Bed-Bath-Beyond-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:42.385Z,,Not Feasible,
860a1a71-7bad-4a24-a4c8-aba4bfe9ff03,PetSupermarket-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:42.779Z,,Not Feasible,
23b8697d-d194-4173-a69a-ec214a246611,Costco-AU,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:43.616Z,,Not Feasible,
948e55e4-dbe6-4572-882f-8a59d22d6619,Zoolini-AT,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:43.674Z,,Not Feasible,
f04d5219-fbff-4cc1-9094-b61fce0af630,Vet-UK,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:44.650Z,,Not Feasible,
f9db98bf-9f23-4bc5-a041-66512adda17b,Viovet,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:44.728Z,,Not Feasible,
476d375b-f239-4ad4-a9df-e65d5782a646,Amazon-Italy,web,extract.sponsored,historic,16.41,search,anomaly,Standard,2024-04-24T04:30:47.345Z,,,
52f784e7-97e4-4534-9169-0392fd3e13e9,Target-APP-US,app,extract.productNo,condition,9.12,search,anomaly,Standard,2024-04-24T04:30:49.273Z,,,
be9f5d21-e07a-4d94-a7e6-f654f9fd4624,Publix-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:49.576Z,,Not Feasible,
be36cfae-5b38-40d2-b05b-d39d07602fe3,Mondou-CA,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:50.016Z,,Not Feasible,
d2512fdd-e877-4285-bef2-f08c4bbb78e9,Sephora-US,web,extract.productNo,condition,15.1,search,anomaly,Standard,2024-04-24T04:30:50.299Z,,,
630f5d2a-807d-4c6d-aeab-61aad04d4cf3,Zooplus-ES,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:50.605Z,,Not Feasible,
f39e5d4a-b18a-4d4a-8832-2f2ae3b7d173,Miscota-ES,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:50.743Z,,Not Feasible,
3aa90162-2545-470d-af62-5651bf33b25a,LazMart-PH,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:51.855Z,,Not Feasible,
9ad2b04e-7e37-40cd-8104-f68a00b5de32,WilbursTotalBeverage-CityHive-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:52.193Z,,Not Feasible,
c1536a76-cbf0-4dc7-8eae-c4d3572414ba,KRuoka-CityMarket-FI,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:52.700Z,,Not Feasible,
e1cf1f4d-6214-42c5-8d60-9d33964bcda6,LazMall-TH,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:52.731Z,,Not Feasible,
57f0bed8-a335-40ee-bd04-81bd45a46e36,Novapet-CL,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:53.404Z,,Not Feasible,
97871dab-6e22-4ac4-a097-a5004aac3389,Shipt-HEB-78414-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:53.553Z,,Not Feasible,
4ae0448c-2278-4d57-8ff3-02dd1d488a35,Petvalu-CA,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:54.299Z,,Not Feasible,
74c3a82d-9796-497d-af0a-fe3e68cf7f2f,MustiJaMirri-FI,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:54.528Z,,Not Feasible,
e04d0480-a7fb-440f-a440-727b0f41a849,NormanGoodfellows-ZA,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:56.068Z,,Not Feasible,
7011a534-9db3-4c72-925b-0ef5a803d759,Lazada-PH,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:56.065Z,,Not Feasible,
37177c22-6ce8-4fb8-bdf8-d1a6201803f5,Petsmart-CA,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:56.166Z,,Not Feasible,
a6ced960-67cd-430d-833c-82e2a12b6649,Nordstrom-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:57.219Z,,Not Feasible,
3e9f55dc-cd55-4a61-81a8-b250fa2b8e0a,Agrocampo-CO,web,extract.promotionText,historic,52.35,detail,anomaly,Standard,2024-04-24T04:30:58.359Z,,,
1634f748-6962-4a2a-ba2f-0acc4059392f,Canadian-Tire-CA,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:59.443Z,,Not Feasible,
ce3d887b-f10a-4732-9aff-95c45642bb02,Petz-BR,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:30:59.757Z,,Not Feasible,
bdfcfce3-68d7-4ca1-8a62-4141520e850f,PetPlanet-UK,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:00.595Z,,Not Feasible,
0e5ba3ab-c91b-4ad3-9328-e6fc047755e7,VetZoo-NO,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:02.685Z,,Not Feasible,
09395599-5dfd-4235-b972-fe6361848ed5,Grofers-IN,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:03.873Z,,Not Feasible,
f8092c8f-89ab-455e-9959-f11a27100f06,Zooplus-NL,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:04.978Z,,Not Feasible,
f073c53e-a1bc-4f58-98e5-43d65a435991,Dollar-General-US,web,extract.productNo,condition,0.01,detail,anomaly,Standard,2024-04-24T04:31:05.212Z,,,
be6f45e9-99f1-4d40-9a19-c2a62c94f15b,MartinSevera-SE,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:06.928Z,,Not Feasible,
f4e04eba-8f48-41f8-8d54-fffb14e50c33,ELeclerc-FR,web,extract.promotionText,historic,59.98,detail,anomaly,Standard,2024-04-24T04:31:07.056Z,,,
61da18e6-4c70-4fae-b40f-fc850c807aca,Tiendanimal-ES,web,extract.promotionText,historic,29.08,detail,anomaly,Standard,2024-04-24T04:31:07.253Z,,Not Feasible,
d855a433-9693-4aee-af25-79dbac988e4b,Alza-CZ,web,extract.promotionText,historic,15.86,detail,anomaly,Standard,2024-04-24T04:31:08.720Z,,,
93007d1a-4339-4190-b77e-d89e64dcc049,Zooplus,web,extract.productNo,condition,24.11,detail,anomaly,Standard,2024-04-24T04:31:09.771Z,,Not Feasible,
115af0d7-c258-4ec8-a1f5-620b987df599,Cdiscount-FR,web,extract.productNo,condition,0.01,detail,anomaly,Standard,2024-04-24T04:31:12.050Z,,,
3954c339-aa22-40c6-814a-0da4ae8643e3,Amazon-FR-CA,web,extract.bulletPoints,historic,20.75,detail,anomaly,Standard,2024-04-24T04:31:12.322Z,,,
5e733b3b-449f-4443-a57c-c739f5807cc9,Amazon-FR-CA,web,extract.netQuantity,historic,24.8,detail,anomaly,Standard,2024-04-24T04:31:12.322Z,,,
92110a5a-4ce5-4bf3-8e7a-341c58290e57,Farmasiet-NO,web,feedback.avgRating,historic,19.05,detail,anomaly,Standard,2024-04-24T04:31:12.367Z,,,
764909c1-b214-4125-9181-1fe70f525bcf,Farmasiet-NO,web,feedback.commentCount,historic,19.05,detail,anomaly,Standard,2024-04-24T04:31:12.367Z,,,
b87d88d8-34cc-431a-a881-b265a6494a3a,Jumbo-AR,web,extract.promotionText,historic,30.49,detail,anomaly,Standard,2024-04-24T04:31:13.547Z,,,
4866f235-507a-4ad7-9df5-d79d8cbae793,Newegg-US,web,extract.productNo,condition,2.09,detail,anomaly,Standard,2024-04-24T04:31:13.864Z,,,
43282d94-9d29-43c3-8dcb-d258f0016c31,Club-De-Perrosy-Gatos-CL,web,extract.promotionText,historic,59.86,detail,anomaly,Standard,2024-04-24T04:31:13.909Z,,Not Feasible,
364a1fbb-93a4-4ed6-940e-31099d282d5a,Carrefour-EU,web,extract.promotionText,historic,29.22,detail,anomaly,Standard,2024-04-24T04:31:13.842Z,,,
2bff6928-1bdc-4572-a6c6-a7cc18233f64,Sams-Club-BR,web,extract.promotionText,historic,82.61,detail,anomaly,Standard,2024-04-24T04:31:14.400Z,,,
1f68abab-7309-4ca9-922e-304ad74a3b94,Sams-Club-BR,web,extract.outOfStock,historic,17.26,detail,anomaly,Standard,2024-04-24T04:31:14.401Z,,,
cc5f18da-6fba-4313-a8f7-2f25fbc38ade,Publix-US,web,extract.price,historic,24.74,detail,anomaly,Standard,2024-04-24T04:31:14.676Z,,Not Feasible,
bc2ec491-5e32-4b20-bb27-073e7fdeb983,Metro-PK,web,extract.outOfStock,historic,92.63,detail,anomaly,Standard,2024-04-24T04:31:15.176Z,,,
a821b600-1557-40e2-b2ec-fe2472bbac01,Ozon-RU,web,extract.promotionText,historic,18.84,detail,anomaly,Standard,2024-04-24T04:31:15.508Z,,,
e5097a04-4c17-4d82-b57a-151ce042e313,KRuoka-Market-FI,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:16.591Z,,Not Feasible,
4d1a1e39-7ed7-48b6-88d5-390780c1a30a,Williams-Sanoma-US,web,extract.productNo,condition,0.21,detail,anomaly,Standard,2024-04-24T04:31:16.642Z,,Not Feasible,
0ae8c344-90c0-43f8-8082-625a277c8d55,Americanas-BR,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:16.920Z,,Not Feasible,
6abd6c58-0118-4216-8666-ddb1357db93d,PetDrugsOnline-UK,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:16.998Z,,Not Feasible,
21bc2693-e3ce-4dba-821b-4e365842db86,Matthew-Clark-UK,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:17.368Z,,,
32234499-2e94-4ae1-a494-551c1d6f186e,PetXL-NO,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:17.798Z,,Not Feasible,
5ae2135a-168b-4307-9327-28d01cd775f9,PetSense-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:17.875Z,,Not Feasible,
1535f7dc-3356-4cda-bc68-6beba6dbe90f,LazMall-PH,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:18.169Z,,,
c0d1ddad-e693-41d9-a570-4da05cc906d1,Macys-US,web,extract.productNo,condition,13.19,search,anomaly,Standard,2024-04-24T04:31:18.385Z,,,
c35faa93-3d47-433e-9b98-9d0dd67eef7c,Shipt-Target-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:19.415Z,,Not Feasible,
0d084a7d-ad98-41e2-a7ed-df7939ee9dc7,SuperZoo-CL,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:19.456Z,,Not Feasible,
1af16177-1623-4e13-97e8-96647460f738,Klikindomaret-ID,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:19.627Z,,Not Feasible,
6bce9abe-2ff3-4ed7-aecc-22404fc37232,Rei-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:19.856Z,,Not Feasible,
b24075fa-bd59-402c-87ef-5c89f3147041,Sephora-FR,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:19.995Z,,Not Feasible,
5e51790c-8156-4713-9ca9-a4cf506e5213,Renspets-CA,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:20.643Z,,Not Feasible,
f3722c57-a05b-44db-a14e-14e698309883,Shipt-Publix-35242-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:22.253Z,,Not Feasible,
b2d05c44-38bf-42d4-be5f-d5f5c684bc82,KRuoka-SuperMarket-FI,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:22.962Z,,Not Feasible,
ac52f945-79a4-4c60-9870-e9042cb724f9,Liverpool-MX,web,extract.promotionText,historic,26.58,detail,anomaly,Standard,2024-04-24T04:31:30.803Z,,,
c8337503-410c-425b-b2c0-06bf166dfd90,Lookfantastic-UK,web,extract.promotionText,historic,34.62,detail,anomaly,Standard,2024-04-24T04:31:32.606Z,,,
1e8a25a7-e043-4353-bf98-2c2b0ca6a40a,Kiwoko-ES,web,extract.productNo,condition,0.02,detail,anomaly,Standard,2024-04-24T04:31:33.067Z,,Not Feasible,
fd3157d4-a154-411f-b290-b971c61ad0dd,PetPlace-NL,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:34.187Z,,Not Feasible,
a15e880f-e787-4fd4-9782-570c478c847d,PetSuppliesPlus-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:34.354Z,,Not Feasible,
e4189213-22d4-486a-82f8-46abcc8d2d41,Peppy-JP,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:34.423Z,,Not Feasible,
2fed153c-2abc-4858-9d15-502f4cad5ac0,Shipt-Meijer-49341-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:35.257Z,,Not Feasible,
31f5247f-9acd-431c-ac3a-1bd6eb98681b,Pet-Warehouse-PH,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:35.963Z,,Not Feasible,
25698cbe-7136-41fc-9672-8e6736249cb8,PetDirect-NZ,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:36.322Z,,Not Feasible,
97c62630-7751-4693-b6da-b16a1e10ed61,Toys-R-Us-CA,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:37.122Z,,Not Feasible,
bdb9c8ee-b582-406e-b890-01d063e88105,Apple-US,web,extract.productNo,condition,0.03,detail,anomaly,Standard,2024-04-24T04:31:37.632Z,,Not Feasible,
20434c52-b4e7-4a01-afbc-1ae9969e8f53,Carrefour-AR,web,extract.price,historic,41.66,detail,anomaly,Standard,2024-04-24T04:31:38.823Z,,,
98f28e5e-eb9e-424a-8235-b1e4e0de5636,Animed-Direct-UK,web,extract.productNo,condition,1.18,search,anomaly,Standard,2024-04-24T04:31:40.285Z,,,
25972c67-5e10-4279-954d-6e2e3c67da3c,Bed-Bath-Beyond-US,web,extract.productNo,condition,9.07,detail,anomaly,Standard,2024-04-24T04:31:40.451Z,,Not Feasible,
da7e0204-875d-4937-aad3-99bbe5d3e447,Morrisons-APP-UK,app,extract.imageURL,historic,15.31,detail,anomaly,Standard,2024-04-24T04:31:40.726Z,,,
73ce9dc8-2d44-4a8f-882d-ac91a5e86a15,Dicks-US,web,extract.productNo,condition,6.55,detail,anomaly,Standard,2024-04-24T04:31:41.214Z,,Not Feasible,
a5941dda-1139-40ae-a57d-291727f83b6e,ArkenZoo-SE,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:41.744Z,,Not Feasible,
4d8e3596-11fa-4549-b027-79117303d7e0,Benesse-JP,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:44.597Z,,Not Feasible,
0b914bc2-4203-46b3-bf50-aad3d514dd03,Musti-NO,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:44.774Z,,Not Feasible,
2d74e9f5-63e9-4933-82be-1c177374b504,John-Lewis,web,extract.productNo,condition,0.17,search,anomaly,Standard,2024-04-24T04:31:46.224Z,,,
1c35c81b-0def-42f3-a611-2cb041540b6f,North-Yarmoth-Veterinary-Hospital-US,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:47.021Z,,Not Feasible,
ff5ffd7d-b96c-454c-a061-c21aa0a91af7,Bitiba-DE,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:47.149Z,,Not Feasible,
4caf0e1b-2ecf-40a6-bb96-d6b2729b4ebb,Chewy-CA,web,extract.promotionText,historic,44.63,detail,anomaly,Standard,2024-04-24T04:31:47.634Z,,,
513af694-a133-4df7-9e6d-3e589bd89ede,BJs-US,web,extract.productNo,condition,1.95,search,anomaly,Standard,2024-04-24T04:31:47.764Z,,,
8ecd34b2-2371-4772-b527-6088cbd3231c,Macys-US,web,extract.promotionText,historic,67.3,detail,anomaly,Standard,2024-04-24T04:31:47.872Z,,,
c1690a8c-892d-4070-b1cb-3eb4dfa20968,Kiwoko-ES,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:48.075Z,,Not Feasible,
5fadce35-3986-4a16-b4ba-068ccb9a8994,Rakuten-Yoshitsu-JP,web,feedback.commentCount,historic,15.41,detail,anomaly,Standard,2024-04-24T04:31:48.360Z,,,
0c7a6b14-0c32-4396-a5e3-83584edc9387,Rakuten-Charm-JP,web,feedback.avgRating,historic,20.57,detail,anomaly,Standard,2024-04-24T04:31:48.792Z,,,
d4d4a301-9bef-4978-8d66-f5010fe4bde5,Rakuten-Charm-JP,web,feedback.commentCount,historic,28.46,detail,anomaly,Standard,2024-04-24T04:31:48.793Z,,,
f9c29bf0-2bd7-4304-bf32-da5395d7ef9e,Rakuten-Kurosu-JP,web,feedback.avgRating,historic,25.93,detail,anomaly,Standard,2024-04-24T04:31:50.362Z,,,
d28ce90b-e657-4a4e-825a-82518653596b,Rakuten-Kurosu-JP,web,feedback.commentCount,historic,38.03,detail,anomaly,Standard,2024-04-24T04:31:50.362Z,,,
69460855-2edb-48d3-b3ab-927155a2b5b8,Tokopedia-Coke-Store-ID,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:31:50.877Z,,Not Feasible,
5efbd1e7-11db-468b-9be3-e8e07d75baf6,Pao-de-Acucar-BR,web,extract.promotionText,historic,21.06,detail,anomaly,Standard,2024-04-24T04:31:51.096Z,,,
242b98da-b079-43aa-bc2d-6b57bff66b48,Target-US,web,extract.productNo,condition,0.01,detail,anomaly,Standard,2024-04-24T04:31:54.258Z,,,
d1e8d320-2c61-451e-a6b1-97a4c9188191,US-Cellular-US,web,extract.promotionText,historic,20.37,detail,anomaly,Standard,2024-04-24T04:31:54.906Z,,,
6d3a9cf2-08f9-4eb5-a780-103fcc12ae56,Rakuten-Nyanzaq-JP,web,feedback.avgRating,historic,18.18,detail,anomaly,Standard,2024-04-24T04:31:56.156Z,,,
ef07712f-d920-411f-a31a-71df934b849e,Rakuten-Nyanzaq-JP,web,feedback.commentCount,historic,37.62,detail,anomaly,Standard,2024-04-24T04:31:56.156Z,,,
ea6dd090-cf25-4577-89f9-74e587901c46,Petco-CL,web,extract.promotionText,historic,80.63,detail,anomaly,Standard,2024-04-24T04:31:56.718Z,,,
a457ec4b-6ca0-4ad3-bef1-f5f3365483d2,Rakuten-Tech21-JP,web,feedback.commentCount,historic,28.17,detail,anomaly,Standard,2024-04-24T04:31:57.326Z,,,
24faffec-18bd-4b7d-b92d-2c6eea779fe4,Fressnapf-DE,web,extract.productNo,condition,0.01,detail,anomaly,Standard,2024-04-24T04:31:58.179Z,,,
9e3f08c7-96a8-4acc-bcb1-dbd06bcf8230,Zoo-SE,web,extract.productNo,condition,100,search,anomaly,Standard,2024-04-24T04:32:00.019Z,,Not Feasible,
